packet_id,device_time,host_time,ecg,sample_idx,sample_time,time_ms
0,599620165340.2651,1780933332560.8252,4542,0,599620164786.419,0.0
0,599620165340.2651,1780933332560.876,4876,1,599620164794.1113,7.6923828125
0,599620165340.2651,1780933332560.894,5099,2,599620164801.8036,15.3846435546875
0,599620165340.2651,1780933332560.91,5267,3,599620164809.4958,23.076904296875
0,599620165340.2651,1780933332560.925,5511,4,599620164817.1882,30.769287109375
0,599620165340.2651,1780933332560.939,5743,5,599620164824.8805,38.4615478515625
0,599620165340.2651,1780933332560.952,5925,6,599620164832.5729,46.1539306640625
0,599620165340.2651,1780933332560.965,6123,7,599620164840.2651,53.84619140625
0,599620165340.2651,1780933332560.979,6289,8,599620164847.9574,61.5384521484375
0,599620165340.2651,1780933332560.992,6382,9,599620164855.6498,69.2308349609375
0,599620165340.2651,1780933332561.006,6489,10,599620164863.342,76.923095703125
0,599620165340.2651,1780933332561.019,6580,11,599620164871.0344,84.615478515625
0,599620165340.2651,1780933332561.032,6614,12,599620164878.7267,92.3077392578125
0,599620165340.2651,1780933332561.045,6662,13,599620164886.419,100.0
0,599620165340.2651,1780933332561.058,6694,14,599620164894.1113,107.6923828125
0,599620165340.2651,1780933332561.0708,6666,15,599620164901.8036,115.3846435546875
0,599620165340.2651,1780933332561.084,6687,16,599620164909.4958,123.076904296875
0,599620165340.2651,1780933332561.0981,6707,17,599620164917.1882,130.769287109375
0,599620165340.2651,1780933332561.111,6671,18,599620164924.8805,138.4615478515625
0,599620165340.2651,1780933332561.124,6744,19,599620164932.5729,146.1539306640625
0,599620165340.2651,1780933332561.145,6928,20,599620164940.2651,153.84619140625
0,599620165340.2651,1780933332561.158,7112,21,599620164947.9574,161.5384521484375
0,599620165340.2651,1780933332561.2139,7194,22,599620164955.6498,169.2308349609375
0,599620165340.2651,1780933332561.237,7144,23,599620164963.342,176.923095703125
0,599620165340.2651,1780933332561.2522,7151,24,599620164971.0344,184.615478515625
0,599620165340.2651,1780933332561.268,7212,25,599620164978.7267,192.3077392578125
0,599620165340.2651,1780933332561.2842,7242,26,599620164986.419,200.0
0,599620165340.2651,1780933332561.299,7328,27,599620164994.1113,207.6923828125
0,599620165340.2651,1780933332561.312,7444,28,599620165001.8036,215.3846435546875
0,599620165340.2651,1780933332561.3252,7487,29,599620165009.4958,223.076904296875
0,599620165340.2651,1780933332561.3389,7522,30,599620165017.1882,230.769287109375
0,599620165340.2651,1780933332561.351,7592,31,599620165024.8805,238.4615478515625
0,599620165340.2651,1780933332561.364,7656,32,599620165032.5729,246.1539306640625
0,599620165340.2651,1780933332561.394,7697,33,599620165040.2651,253.84619140625
0,599620165340.2651,1780933332561.407,7706,34,599620165047.9574,261.5384521484375
0,599620165340.2651,1780933332561.42,7694,35,599620165055.6498,269.2308349609375
0,599620165340.2651,1780933332561.433,7713,36,599620165063.342,276.923095703125
0,599620165340.2651,1780933332561.446,7744,37,599620165071.0344,284.615478515625
0,599620165340.2651,1780933332561.459,7804,38,599620165078.7267,292.3077392578125
0,599620165340.2651,1780933332561.472,7872,39,599620165086.419,300.0
0,599620165340.2651,1780933332561.485,7799,40,599620165094.1113,307.6923828125
0,599620165340.2651,1780933332561.499,7733,41,599620165101.8036,315.3846435546875
0,599620165340.2651,1780933332561.512,7840,42,599620165109.4958,323.076904296875
0,599620165340.2651,1780933332561.5251,7810,43,599620165117.1882,330.769287109375
0,599620165340.2651,1780933332561.538,7658,44,599620165124.8805,338.4615478515625
0,599620165340.2651,1780933332561.5671,7722,45,599620165132.5729,346.1539306640625
0,599620165340.2651,1780933332561.5808,7719,46,599620165140.2651,353.84619140625
0,599620165340.2651,1780933332561.594,7512,47,599620165147.9574,361.5384521484375
0,599620165340.2651,1780933332561.607,7465,48,599620165155.6498,369.2308349609375
0,599620165340.2651,1780933332561.62,7503,49,599620165163.342,376.923095703125
0,599620165340.2651,1780933332561.633,7481,50,599620165171.0344,384.615478515625
0,599620165340.2651,1780933332561.646,7462,51,599620165178.7267,392.3077392578125
0,599620165340.2651,1780933332561.6592,7360,52,599620165186.419,400.0
0,599620165340.2651,1780933332561.6729,7230,53,599620165194.1113,407.6923828125
0,599620165340.2651,1780933332561.686,7251,54,599620165201.8036,415.3846435546875
0,599620165340.2651,1780933332561.699,7315,55,599620165209.4958,423.076904296875
0,599620165340.2651,1780933332561.712,7317,56,599620165217.1882,430.769287109375
0,599620165340.2651,1780933332561.7249,7303,57,599620165224.8805,438.4615478515625
0,599620165340.2651,1780933332561.738,7253,58,599620165232.5729,446.1539306640625
0,599620165340.2651,1780933332561.751,7189,59,599620165240.2651,453.84619140625
0,599620165340.2651,1780933332561.764,7178,60,599620165247.9574,461.5384521484375
0,599620165340.2651,1780933332561.777,7224,61,599620165255.6498,469.2308349609375
0,599620165340.2651,1780933332561.79,7310,62,599620165263.342,476.923095703125
0,599620165340.2651,1780933332561.81,7253,63,599620165271.0344,484.615478515625
0,599620165340.2651,1780933332561.823,7046,64,599620165278.7267,492.3077392578125
0,599620165340.2651,1780933332561.839,6998,65,599620165286.419,500.0
0,599620165340.2651,1780933332561.852,7017,66,599620165294.1113,507.6923828125
0,599620165340.2651,1780933332561.865,6923,67,599620165301.8036,515.3846435546875
0,599620165340.2651,1780933332561.878,6942,68,599620165309.4958,523.076904296875
0,599620165340.2651,1780933332561.891,6973,69,599620165317.1882,530.769287109375
0,599620165340.2651,1780933332561.916,6775,70,599620165324.8805,538.4615478515625
0,599620165340.2651,1780933332561.93,6628,71,599620165332.5729,546.1539306640625
0,599620165340.2651,1780933332561.949,6612,72,599620165340.2651,553.84619140625
1,599620165901.8065,1780933333099.315,6523,0,599620165347.9603,561.5413818359375
1,599620165901.8065,1780933333099.326,6480,1,599620165355.6527,569.2337646484375
1,599620165901.8065,1780933333099.329,6482,2,599620165363.345,576.926025390625
1,599620165901.8065,1780933333099.332,6387,3,599620165371.0372,584.6182861328125
1,599620165901.8065,1780933333099.336,6305,4,599620165378.7296,592.3106689453125
1,599620165901.8065,1780933333099.339,6296,5,599620165386.4219,600.0029296875
1,599620165901.8065,1780933333099.3408,6268,6,599620165394.1143,607.6953125
1,599620165901.8065,1780933333099.344,6243,7,599620165401.8065,615.3875732421875
1,599620165901.8065,1780933333099.346,6223,8,599620165409.4988,623.079833984375
1,599620165901.8065,1780933333099.35,6205,9,599620165417.1912,630.772216796875
1,599620165901.8065,1780933333099.353,6143,10,599620165424.8834,638.4644775390625
1,599620165901.8065,1780933333099.355,5968,11,599620165432.5758,646.1568603515625
1,599620165901.8065,1780933333099.3582,5918,12,599620165440.2681,653.84912109375
1,599620165901.8065,1780933333099.3608,6189,13,599620165447.9603,661.5413818359375
1,599620165901.8065,1780933333099.363,6498,14,599620165455.6527,669.2337646484375
1,599620165901.8065,1780933333099.366,6414,15,599620165463.345,676.926025390625
1,599620165901.8065,1780933333099.3682,5786,16,599620165471.0372,684.6182861328125
1,599620165901.8065,1780933333099.3708,5138,17,599620165478.7296,692.3106689453125
1,599620165901.8065,1780933333099.373,5149,18,599620165486.4219,700.0029296875
1,599620165901.8065,1780933333099.376,5543,19,599620165494.1143,707.6953125
1,599620165901.8065,1780933333099.3792,5579,20,599620165501.8065,715.3875732421875
1,599620165901.8065,1780933333099.3818,5354,21,599620165509.4988,723.079833984375
1,599620165901.8065,1780933333099.384,5331,22,599620165517.1912,730.772216796875
1,599620165901.8065,1780933333099.387,5372,23,599620165524.8834,738.4644775390625
1,599620165901.8065,1780933333099.3892,5311,24,599620165532.5758,746.1568603515625
1,599620165901.8065,1780933333099.3918,5281,25,599620165540.2681,753.84912109375
1,599620165901.8065,1780933333099.394,5249,26,599620165547.9603,761.5413818359375
1,599620165901.8065,1780933333099.397,5163,27,599620165555.6527,769.2337646484375
1,599620165901.8065,1780933333099.3992,5126,28,599620165563.345,776.926025390625
1,599620165901.8065,1780933333099.4019,5131,29,599620165571.0372,784.6182861328125
1,599620165901.8065,1780933333099.404,5117,30,599620165578.7296,792.3106689453125
1,599620165901.8065,1780933333099.407,5067,31,599620165586.4219,800.0029296875
1,599620165901.8065,1780933333099.4092,4974,32,599620165594.1143,807.6953125
1,599620165901.8065,1780933333099.4119,4903,33,599620165601.8065,815.3875732421875
1,599620165901.8065,1780933333099.414,4888,34,599620165609.4988,823.079833984375
1,599620165901.8065,1780933333099.417,4865,35,599620165617.1912,830.772216796875
1,599620165901.8065,1780933333099.4202,4842,36,599620165624.8834,838.4644775390625
1,599620165901.8065,1780933333099.4219,4831,37,599620165632.5758,846.1568603515625
1,599620165901.8065,1780933333099.425,4783,38,599620165640.2681,853.84912109375
1,599620165901.8065,1780933333099.427,4724,39,599620165647.9603,861.5413818359375
1,599620165901.8065,1780933333099.4302,4722,40,599620165655.6527,869.2337646484375
1,599620165901.8065,1780933333099.432,4733,41,599620165663.345,876.926025390625
1,599620165901.8065,1780933333099.435,4726,42,599620165671.0372,884.6182861328125
1,599620165901.8065,1780933333099.437,4717,43,599620165678.7296,892.3106689453125
1,599620165901.8065,1780933333099.4402,4671,44,599620165686.4219,900.0029296875
1,599620165901.8065,1780933333099.442,4621,45,599620165694.1143,907.6953125
1,599620165901.8065,1780933333099.445,4606,46,599620165701.8065,915.3875732421875
1,599620165901.8065,1780933333099.448,4594,47,599620165709.4988,923.079833984375
1,599620165901.8065,1780933333099.4502,4580,48,599620165717.1912,930.772216796875
1,599620165901.8065,1780933333099.453,4533,49,599620165724.8834,938.4644775390625
1,599620165901.8065,1780933333099.455,4414,50,599620165732.5758,946.1568603515625
1,599620165901.8065,1780933333099.458,4273,51,599620165740.2681,953.84912109375
1,599620165901.8065,1780933333099.46,4112,52,599620165747.9603,961.5413818359375
1,599620165901.8065,1780933333099.463,3985,53,599620165755.6527,969.2337646484375
1,599620165901.8065,1780933333099.4648,3932,54,599620165763.345,976.926025390625
1,599620165901.8065,1780933333099.468,3862,55,599620165771.0372,984.6182861328125
1,599620165901.8065,1780933333099.4712,3764,56,599620165778.7296,992.3106689453125
1,599620165901.8065,1780933333099.4739,3705,57,599620165786.4219,1000.0029296875
1,599620165901.8065,1780933333099.476,3668,58,599620165794.1143,1007.6953125
1,599620165901.8065,1780933333099.479,3632,59,599620165801.8065,1015.3875732421875
1,599620165901.8065,1780933333099.4812,3607,60,599620165809.4988,1023.079833984375
1,599620165901.8065,1780933333099.484,3584,61,599620165817.1912,1030.772216796875
1,599620165901.8065,1780933333099.486,3543,62,599620165824.8834,1038.4644775390625
1,599620165901.8065,1780933333099.489,3473,63,599620165832.5758,1046.1568603515625
1,599620165901.8065,1780933333099.491,3416,64,599620165840.2681,1053.84912109375
1,599620165901.8065,1780933333099.494,3402,65,599620165847.9603,1061.5413818359375
1,599620165901.8065,1780933333099.4958,3386,66,599620165855.6527,1069.2337646484375
1,599620165901.8065,1780933333099.499,3336,67,599620165863.345,1076.926025390625
1,599620165901.8065,1780933333099.501,3289,68,599620165871.0372,1084.6182861328125
1,599620165901.8065,1780933333099.504,3254,69,599620165878.7296,1092.3106689453125
1,599620165901.8065,1780933333099.5059,3259,70,599620165886.4219,1100.0029296875
1,599620165901.8065,1780933333099.509,3277,71,599620165894.1143,1107.6953125
1,599620165901.8065,1780933333099.511,3188,72,599620165901.8065,1115.3875732421875
2,599620166463.3734,1780933333685.99,3036,0,599620165909.5272,1123.1082763671875
2,599620166463.3734,1780933333686.0,2986,1,599620165917.2196,1130.8006591796875
2,599620166463.3734,1780933333686.003,2991,2,599620165924.9119,1138.492919921875
2,599620166463.3734,1780933333686.008,2956,3,599620165932.6041,1146.1851806640625
2,599620166463.3734,1780933333686.011,2938,4,599620165940.2965,1153.8775634765625
2,599620166463.3734,1780933333686.013,2931,5,599620165947.9888,1161.56982421875
2,599620166463.3734,1780933333686.016,2900,6,599620165955.6812,1169.26220703125
2,599620166463.3734,1780933333686.019,2863,7,599620165963.3734,1176.9544677734375
2,599620166463.3734,1780933333686.021,2836,8,599620165971.0657,1184.646728515625
2,599620166463.3734,1780933333686.024,2820,9,599620165978.758,1192.339111328125
2,599620166463.3734,1780933333686.0261,2820,10,599620165986.4503,1200.0313720703125
2,599620166463.3734,1780933333686.029,2790,11,599620165994.1427,1207.7237548828125
2,599620166463.3734,1780933333686.031,2720,12,599620166001.835,1215.416015625
2,599620166463.3734,1780933333686.034,2677,13,599620166009.5272,1223.1082763671875
2,599620166463.3734,1780933333686.037,2665,14,599620166017.2196,1230.8006591796875
2,599620166463.3734,1780933333686.039,2645,15,599620166024.9119,1238.492919921875
2,599620166463.3734,1780933333686.042,2633,16,599620166032.6041,1246.1851806640625
2,599620166463.3734,1780933333686.044,2618,17,599620166040.2965,1253.8775634765625
2,599620166463.3734,1780933333686.047,2593,18,599620166047.9888,1261.56982421875
2,599620166463.3734,1780933333686.049,2558,19,599620166055.6812,1269.26220703125
2,599620166463.3734,1780933333686.052,2474,20,599620166063.3734,1276.9544677734375
2,599620166463.3734,1780933333686.055,2399,21,599620166071.0657,1284.646728515625
2,599620166463.3734,1780933333686.0571,2376,22,599620166078.758,1292.339111328125
2,599620166463.3734,1780933333686.06,2320,23,599620166086.4503,1300.0313720703125
2,599620166463.3734,1780933333686.062,2258,24,599620166094.1427,1307.7237548828125
2,599620166463.3734,1780933333686.065,2254,25,599620166101.835,1315.416015625
2,599620166463.3734,1780933333686.074,2247,26,599620166109.5272,1323.1082763671875
2,599620166463.3734,1780933333686.0771,2224,27,599620166117.2196,1330.8006591796875
2,599620166463.3734,1780933333686.08,2224,28,599620166124.9119,1338.492919921875
2,599620166463.3734,1780933333686.0818,2229,29,599620166132.6041,1346.1851806640625
2,599620166463.3734,1780933333686.085,2226,30,599620166140.2965,1353.8775634765625
2,599620166463.3734,1780933333686.087,2235,31,599620166147.9888,1361.56982421875
2,599620166463.3734,1780933333686.09,2245,32,599620166155.6812,1369.26220703125
2,599620166463.3734,1780933333686.0918,2235,33,599620166163.3734,1376.9544677734375
2,599620166463.3734,1780933333686.095,2197,34,599620166171.0657,1384.646728515625
2,599620166463.3734,1780933333686.097,2147,35,599620166178.758,1392.339111328125
2,599620166463.3734,1780933333686.1,2122,36,599620166186.4503,1400.0313720703125
2,599620166463.3734,1780933333686.1018,2097,37,599620166194.1427,1407.7237548828125
2,599620166463.3734,1780933333686.105,2047,38,599620166201.835,1415.416015625
2,599620166463.3734,1780933333686.107,2017,39,599620166209.5272,1423.1082763671875
2,599620166463.3734,1780933333686.11,2008,40,599620166217.2196,1430.8006591796875
2,599620166463.3734,1780933333686.1118,1940,41,599620166224.9119,1438.492919921875
2,599620166463.3734,1780933333686.115,1874,42,599620166232.6041,1446.1851806640625
2,599620166463.3734,1780933333686.117,1867,43,599620166240.2965,1453.8775634765625
2,599620166463.3734,1780933333686.12,1862,44,599620166247.9888,1461.56982421875
2,599620166463.3734,1780933333686.1218,1849,45,599620166255.6812,1469.26220703125
2,599620166463.3734,1780933333686.125,1833,46,599620166263.3734,1476.9544677734375
2,599620166463.3734,1780933333686.128,1792,47,599620166271.0657,1484.646728515625
2,599620166463.3734,1780933333686.1301,1774,48,599620166278.758,1492.339111328125
2,599620166463.3734,1780933333686.1328,1785,49,599620166286.4503,1500.0313720703125
2,599620166463.3734,1780933333686.135,1776,50,599620166294.1427,1507.7237548828125
2,599620166463.3734,1780933333686.138,1760,51,599620166301.835,1515.416015625
2,599620166463.3734,1780933333686.1401,1749,52,599620166309.5272,1523.1082763671875
2,599620166463.3734,1780933333686.1428,1803,53,599620166317.2196,1530.8006591796875
2,599620166463.3734,1780933333686.145,2051,54,599620166324.9119,1538.492919921875
2,599620166463.3734,1780933333686.148,2374,55,599620166332.6041,1546.1851806640625
2,599620166463.3734,1780933333686.1511,2254,56,599620166340.2965,1553.8775634765625
2,599620166463.3734,1780933333686.1528,1553,57,599620166347.9888,1561.56982421875
